Node Failure (%),Message Overhead,Algorithms
40.0,58.0,Plebi 0.3 prob topology
40.0,467.0,Plebi 0.5 prob topology
40.0,1192.0,Plebi 0.7 prob topology
40.0,1929.0,Plebi 0.9 prob topology
40.0,596.0,RAFT
40.0,93.0,Plebi 0.3 prob topology
40.0,49.0,Plebi 0.5 prob topology
40.0,803.0,Plebi 0.7 prob topology
40.0,1142.0,Plebi 0.9 prob topology
40.0,750.0,RAFT
40.0,208.0,Plebi 0.3 prob topology
40.0,70.0,Plebi 0.5 prob topology
40.0,916.0,Plebi 0.7 prob topology
40.0,1211.0,Plebi 0.9 prob topology
40.0,718.0,RAFT
40.0,93.0,Plebi 0.3 prob topology
40.0,342.0,Plebi 0.5 prob topology
40.0,1517.0,Plebi 0.7 prob topology
40.0,947.0,Plebi 0.9 prob topology
40.0,814.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,49.0,Plebi 0.5 prob topology
40.0,1549.0,Plebi 0.7 prob topology
40.0,1408.0,Plebi 0.9 prob topology
40.0,619.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,525.0,Plebi 0.5 prob topology
40.0,391.0,Plebi 0.7 prob topology
40.0,1270.0,Plebi 0.9 prob topology
40.0,628.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,248.0,Plebi 0.5 prob topology
40.0,804.0,Plebi 0.7 prob topology
40.0,1292.0,Plebi 0.9 prob topology
40.0,790.0,RAFT
40.0,54.0,Plebi 0.3 prob topology
40.0,366.0,Plebi 0.5 prob topology
40.0,1487.0,Plebi 0.7 prob topology
40.0,816.0,Plebi 0.9 prob topology
40.0,704.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,402.0,Plebi 0.5 prob topology
40.0,1114.0,Plebi 0.7 prob topology
40.0,1257.0,Plebi 0.9 prob topology
40.0,662.0,RAFT
40.0,136.0,Plebi 0.3 prob topology
40.0,453.0,Plebi 0.5 prob topology
40.0,520.0,Plebi 0.7 prob topology
40.0,870.0,Plebi 0.9 prob topology
40.0,824.0,RAFT
40.0,225.0,Plebi 0.3 prob topology
40.0,130.0,Plebi 0.5 prob topology
40.0,952.0,Plebi 0.7 prob topology
40.0,1670.0,Plebi 0.9 prob topology
40.0,632.0,RAFT
40.0,210.0,Plebi 0.3 prob topology
40.0,34.0,Plebi 0.5 prob topology
40.0,537.0,Plebi 0.7 prob topology
40.0,999.0,Plebi 0.9 prob topology
40.0,796.0,RAFT
40.0,248.0,Plebi 0.3 prob topology
40.0,411.0,Plebi 0.5 prob topology
40.0,804.0,Plebi 0.7 prob topology
40.0,927.0,Plebi 0.9 prob topology
40.0,852.0,RAFT
30.0,110.0,Plebi 0.3 prob topology
30.0,865.0,Plebi 0.5 prob topology
30.0,860.0,Plebi 0.7 prob topology
30.0,2018.0,Plebi 0.9 prob topology
30.0,712.0,RAFT
30.0,308.0,Plebi 0.3 prob topology
30.0,647.0,Plebi 0.5 prob topology
30.0,780.0,Plebi 0.7 prob topology
30.0,1077.0,Plebi 0.9 prob topology
30.0,813.0,RAFT
30.0,132.0,Plebi 0.3 prob topology
30.0,1265.0,Plebi 0.5 prob topology
30.0,1561.0,Plebi 0.7 prob topology
30.0,1616.0,Plebi 0.9 prob topology
30.0,831.0,RAFT
30.0,346.0,Plebi 0.3 prob topology
30.0,748.0,Plebi 0.5 prob topology
30.0,1053.0,Plebi 0.7 prob topology
30.0,1736.0,Plebi 0.9 prob topology
30.0,681.0,RAFT
30.0,157.0,Plebi 0.3 prob topology
30.0,546.0,Plebi 0.5 prob topology
30.0,1523.0,Plebi 0.7 prob topology
30.0,1944.0,Plebi 0.9 prob topology
30.0,714.0,RAFT
30.0,311.0,Plebi 0.3 prob topology
30.0,716.0,Plebi 0.5 prob topology
30.0,549.0,Plebi 0.7 prob topology
30.0,1388.0,Plebi 0.9 prob topology
30.0,795.0,RAFT
30.0,332.0,Plebi 0.3 prob topology
30.0,451.0,Plebi 0.5 prob topology
30.0,1059.0,Plebi 0.7 prob topology
30.0,804.0,Plebi 0.9 prob topology
30.0,726.0,RAFT
30.0,248.0,Plebi 0.3 prob topology
30.0,697.0,Plebi 0.5 prob topology
30.0,737.0,Plebi 0.7 prob topology
30.0,1059.0,Plebi 0.9 prob topology
30.0,709.0,RAFT
30.0,144.0,Plebi 0.3 prob topology
30.0,114.0,Plebi 0.5 prob topology
30.0,1409.0,Plebi 0.7 prob topology
30.0,1606.0,Plebi 0.9 prob topology
30.0,785.0,RAFT
30.0,88.0,Plebi 0.3 prob topology
30.0,186.0,Plebi 0.5 prob topology
30.0,743.0,Plebi 0.7 prob topology
30.0,2022.0,Plebi 0.9 prob topology
30.0,854.0,RAFT
30.0,87.0,Plebi 0.3 prob topology
30.0,51.0,Plebi 0.5 prob topology
30.0,1429.0,Plebi 0.7 prob topology
30.0,1952.0,Plebi 0.9 prob topology
30.0,732.0,RAFT
30.0,166.0,Plebi 0.3 prob topology
30.0,176.0,Plebi 0.5 prob topology
30.0,1465.0,Plebi 0.7 prob topology
30.0,1514.0,Plebi 0.9 prob topology
30.0,669.0,RAFT
30.0,283.0,Plebi 0.3 prob topology
30.0,1265.0,Plebi 0.5 prob topology
30.0,1367.0,Plebi 0.7 prob topology
30.0,2062.0,Plebi 0.9 prob topology
30.0,839.0,RAFT
30.0,207.0,Plebi 0.3 prob topology
30.0,55.0,Plebi 0.5 prob topology
30.0,1073.0,Plebi 0.7 prob topology
30.0,1502.0,Plebi 0.9 prob topology
30.0,777.0,RAFT
50.0,448.0,Plebi 0.3 prob topology
50.0,777.0,Plebi 0.5 prob topology
50.0,946.0,Plebi 0.7 prob topology
50.0,1001.0,Plebi 0.9 prob topology
50.0,804.0,RAFT
50.0,329.0,Plebi 0.3 prob topology
50.0,1006.0,Plebi 0.5 prob topology
50.0,868.0,Plebi 0.7 prob topology
50.0,739.0,Plebi 0.9 prob topology
50.0,622.0,RAFT
50.0,645.0,Plebi 0.3 prob topology
50.0,425.0,Plebi 0.5 prob topology
50.0,703.0,Plebi 0.7 prob topology
50.0,938.0,Plebi 0.9 prob topology
50.0,402.0,RAFT
50.0,430.0,Plebi 0.3 prob topology
50.0,378.0,Plebi 0.5 prob topology
50.0,664.0,Plebi 0.7 prob topology
50.0,632.0,Plebi 0.9 prob topology
50.0,104.0,RAFT
50.0,126.0,Plebi 0.3 prob topology
50.0,676.0,Plebi 0.5 prob topology
50.0,484.0,Plebi 0.7 prob topology
50.0,1012.0,Plebi 0.9 prob topology
50.0,245.0,RAFT
50.0,319.0,Plebi 0.3 prob topology
50.0,665.0,Plebi 0.5 prob topology
50.0,1175.0,Plebi 0.7 prob topology
50.0,1233.0,Plebi 0.9 prob topology
50.0,689.0,RAFT
50.0,174.0,Plebi 0.3 prob topology
50.0,837.0,Plebi 0.5 prob topology
50.0,1358.0,Plebi 0.7 prob topology
50.0,724.0,Plebi 0.9 prob topology
50.0,707.0,RAFT
50.0,203.0,Plebi 0.3 prob topology
50.0,554.0,Plebi 0.5 prob topology
50.0,746.0,Plebi 0.7 prob topology
50.0,586.0,Plebi 0.9 prob topology
50.0,707.0,RAFT
50.0,262.0,Plebi 0.3 prob topology
50.0,871.0,Plebi 0.5 prob topology
50.0,782.0,Plebi 0.7 prob topology
50.0,763.0,Plebi 0.9 prob topology
50.0,725.0,RAFT
50.0,286.0,Plebi 0.3 prob topology
50.0,396.0,Plebi 0.5 prob topology
50.0,681.0,Plebi 0.7 prob topology
50.0,778.0,Plebi 0.9 prob topology
50.0,397.0,RAFT
50.0,606.0,Plebi 0.3 prob topology
50.0,748.0,Plebi 0.5 prob topology
50.0,621.0,Plebi 0.7 prob topology
50.0,1135.0,Plebi 0.9 prob topology
50.0,679.0,RAFT
50.0,190.0,Plebi 0.3 prob topology
50.0,334.0,Plebi 0.5 prob topology
50.0,923.0,Plebi 0.7 prob topology
50.0,699.0,Plebi 0.9 prob topology
50.0,714.0,RAFT
50.0,367.0,Plebi 0.3 prob topology
50.0,599.0,Plebi 0.5 prob topology
50.0,558.0,Plebi 0.7 prob topology
50.0,1133.0,Plebi 0.9 prob topology
50.0,640.0,RAFT
50.0,153.0,Plebi 0.3 prob topology
50.0,602.0,Plebi 0.5 prob topology
50.0,506.0,Plebi 0.7 prob topology
50.0,1265.0,Plebi 0.9 prob topology
50.0,382.0,RAFT
50.0,371.0,Plebi 0.3 prob topology
50.0,923.0,Plebi 0.5 prob topology
50.0,963.0,Plebi 0.7 prob topology
50.0,834.0,Plebi 0.9 prob topology
50.0,643.0,RAFT
50.0,299.0,Plebi 0.3 prob topology
50.0,557.0,Plebi 0.5 prob topology
50.0,409.0,Plebi 0.7 prob topology
50.0,734.0,Plebi 0.9 prob topology
50.0,797.0,RAFT
50.0,260.0,Plebi 0.3 prob topology
50.0,588.0,Plebi 0.5 prob topology
50.0,1225.0,Plebi 0.7 prob topology
50.0,1013.0,Plebi 0.9 prob topology
50.0,604.0,RAFT
50.0,177.0,Plebi 0.3 prob topology
50.0,359.0,Plebi 0.5 prob topology
50.0,410.0,Plebi 0.7 prob topology
50.0,851.0,Plebi 0.9 prob topology
50.0,204.0,RAFT
50.0,357.0,Plebi 0.3 prob topology
50.0,821.0,Plebi 0.5 prob topology
50.0,1057.0,Plebi 0.7 prob topology
50.0,772.0,Plebi 0.9 prob topology
50.0,237.0,RAFT
50.0,324.0,Plebi 0.3 prob topology
50.0,473.0,Plebi 0.5 prob topology
50.0,1045.0,Plebi 0.7 prob topology
50.0,917.0,Plebi 0.9 prob topology
50.0,604.0,RAFT
50.0,601.0,Plebi 0.3 prob topology
50.0,434.0,Plebi 0.5 prob topology
50.0,697.0,Plebi 0.7 prob topology
50.0,1343.0,Plebi 0.9 prob topology
50.0,662.0,RAFT
50.0,354.0,Plebi 0.3 prob topology
50.0,839.0,Plebi 0.5 prob topology
50.0,699.0,Plebi 0.7 prob topology
50.0,1191.0,Plebi 0.9 prob topology
50.0,318.0,RAFT
50.0,562.0,Plebi 0.3 prob topology
50.0,512.0,Plebi 0.5 prob topology
50.0,699.0,Plebi 0.7 prob topology
50.0,1361.0,Plebi 0.9 prob topology
50.0,254.0,RAFT
50.0,229.0,Plebi 0.3 prob topology
50.0,438.0,Plebi 0.5 prob topology
50.0,877.0,Plebi 0.7 prob topology
50.0,1297.0,Plebi 0.9 prob topology
50.0,99.0,RAFT
50.0,223.0,Plebi 0.3 prob topology
50.0,389.0,Plebi 0.5 prob topology
50.0,548.0,Plebi 0.7 prob topology
50.0,1044.0,Plebi 0.9 prob topology
50.0,767.0,RAFT
50.0,309.0,Plebi 0.3 prob topology
50.0,575.0,Plebi 0.5 prob topology
50.0,355.0,Plebi 0.7 prob topology
50.0,1609.0,Plebi 0.9 prob topology
50.0,767.0,RAFT
50.0,466.0,Plebi 0.3 prob topology
50.0,652.0,Plebi 0.5 prob topology
50.0,468.0,Plebi 0.7 prob topology
50.0,735.0,Plebi 0.9 prob topology
50.0,670.0,RAFT
50.0,343.0,Plebi 0.3 prob topology
50.0,697.0,Plebi 0.5 prob topology
50.0,968.0,Plebi 0.7 prob topology
50.0,721.0,Plebi 0.9 prob topology
50.0,707.0,RAFT
40.0,135.0,Plebi 0.3 prob topology
40.0,365.0,Plebi 0.5 prob topology
40.0,602.0,Plebi 0.7 prob topology
40.0,1311.0,Plebi 0.9 prob topology
40.0,656.0,RAFT
40.0,129.0,Plebi 0.3 prob topology
40.0,351.0,Plebi 0.5 prob topology
40.0,634.0,Plebi 0.7 prob topology
40.0,1487.0,Plebi 0.9 prob topology
40.0,718.0,RAFT
40.0,374.0,Plebi 0.3 prob topology
40.0,615.0,Plebi 0.5 prob topology
40.0,804.0,Plebi 0.7 prob topology
40.0,1341.0,Plebi 0.9 prob topology
40.0,790.0,RAFT
40.0,402.0,Plebi 0.3 prob topology
40.0,711.0,Plebi 0.5 prob topology
40.0,927.0,Plebi 0.7 prob topology
40.0,1393.0,Plebi 0.9 prob topology
40.0,772.0,RAFT
40.0,531.0,Plebi 0.3 prob topology
40.0,462.0,Plebi 0.5 prob topology
40.0,591.0,Plebi 0.7 prob topology
40.0,971.0,Plebi 0.9 prob topology
40.0,645.0,RAFT
40.0,174.0,Plebi 0.3 prob topology
40.0,776.0,Plebi 0.5 prob topology
40.0,682.0,Plebi 0.7 prob topology
40.0,1231.0,Plebi 0.9 prob topology
40.0,630.0,RAFT
40.0,262.0,Plebi 0.3 prob topology
40.0,455.0,Plebi 0.5 prob topology
40.0,806.0,Plebi 0.7 prob topology
40.0,1179.0,Plebi 0.9 prob topology
40.0,757.0,RAFT
40.0,185.0,Plebi 0.3 prob topology
40.0,459.0,Plebi 0.5 prob topology
40.0,925.0,Plebi 0.7 prob topology
40.0,1376.0,Plebi 0.9 prob topology
40.0,738.0,RAFT
40.0,191.0,Plebi 0.3 prob topology
40.0,964.0,Plebi 0.5 prob topology
40.0,1284.0,Plebi 0.7 prob topology
40.0,1198.0,Plebi 0.9 prob topology
40.0,828.0,RAFT
40.0,131.0,Plebi 0.3 prob topology
40.0,316.0,Plebi 0.5 prob topology
40.0,855.0,Plebi 0.7 prob topology
40.0,1393.0,Plebi 0.9 prob topology
40.0,608.0,RAFT
40.0,710.0,Plebi 0.3 prob topology
40.0,601.0,Plebi 0.5 prob topology
40.0,1412.0,Plebi 0.7 prob topology
40.0,1002.0,Plebi 0.9 prob topology
40.0,692.0,RAFT
40.0,654.0,Plebi 0.3 prob topology
40.0,947.0,Plebi 0.5 prob topology
40.0,550.0,Plebi 0.7 prob topology
40.0,1131.0,Plebi 0.9 prob topology
40.0,852.0,RAFT
40.0,258.0,Plebi 0.3 prob topology
40.0,721.0,Plebi 0.5 prob topology
40.0,488.0,Plebi 0.7 prob topology
40.0,1052.0,Plebi 0.9 prob topology
40.0,834.0,RAFT
40.0,314.0,Plebi 0.3 prob topology
40.0,786.0,Plebi 0.5 prob topology
40.0,1040.0,Plebi 0.7 prob topology
40.0,1040.0,Plebi 0.9 prob topology
40.0,558.0,RAFT
30.0,195.0,Plebi 0.3 prob topology
30.0,724.0,Plebi 0.5 prob topology
30.0,1416.0,Plebi 0.7 prob topology
30.0,1914.0,Plebi 0.9 prob topology
30.0,746.0,RAFT
30.0,269.0,Plebi 0.3 prob topology
30.0,650.0,Plebi 0.5 prob topology
30.0,1235.0,Plebi 0.7 prob topology
30.0,1265.0,Plebi 0.9 prob topology
30.0,777.0,RAFT
30.0,412.0,Plebi 0.3 prob topology
30.0,671.0,Plebi 0.5 prob topology
30.0,532.0,Plebi 0.7 prob topology
30.0,1133.0,Plebi 0.9 prob topology
30.0,681.0,RAFT
30.0,163.0,Plebi 0.3 prob topology
30.0,284.0,Plebi 0.5 prob topology
30.0,1407.0,Plebi 0.7 prob topology
30.0,828.0,Plebi 0.9 prob topology
30.0,706.0,RAFT
30.0,35.0,Plebi 0.3 prob topology
30.0,761.0,Plebi 0.5 prob topology
30.0,995.0,Plebi 0.7 prob topology
30.0,1052.0,Plebi 0.9 prob topology
30.0,706.0,RAFT
30.0,276.0,Plebi 0.3 prob topology
30.0,427.0,Plebi 0.5 prob topology
30.0,707.0,Plebi 0.7 prob topology
30.0,1467.0,Plebi 0.9 prob topology
30.0,675.0,RAFT
30.0,166.0,Plebi 0.3 prob topology
30.0,471.0,Plebi 0.5 prob topology
30.0,1186.0,Plebi 0.7 prob topology
30.0,1168.0,Plebi 0.9 prob topology
30.0,831.0,RAFT
30.0,193.0,Plebi 0.3 prob topology
30.0,392.0,Plebi 0.5 prob topology
30.0,1103.0,Plebi 0.7 prob topology
30.0,2058.0,Plebi 0.9 prob topology
30.0,777.0,RAFT
30.0,226.0,Plebi 0.3 prob topology
30.0,279.0,Plebi 0.5 prob topology
30.0,536.0,Plebi 0.7 prob topology
30.0,1037.0,Plebi 0.9 prob topology
30.0,846.0,RAFT
30.0,72.0,Plebi 0.3 prob topology
30.0,424.0,Plebi 0.5 prob topology
30.0,935.0,Plebi 0.7 prob topology
30.0,1560.0,Plebi 0.9 prob topology
30.0,703.0,RAFT
30.0,200.0,Plebi 0.3 prob topology
30.0,460.0,Plebi 0.5 prob topology
30.0,742.0,Plebi 0.7 prob topology
30.0,973.0,Plebi 0.9 prob topology
30.0,744.0,RAFT
30.0,250.0,Plebi 0.3 prob topology
30.0,263.0,Plebi 0.5 prob topology
30.0,778.0,Plebi 0.7 prob topology
30.0,1123.0,Plebi 0.9 prob topology
30.0,762.0,RAFT
20.0,436.0,Plebi 0.3 prob topology
20.0,833.0,Plebi 0.5 prob topology
20.0,1434.0,Plebi 0.7 prob topology
20.0,2046.0,Plebi 0.9 prob topology
20.0,810.0,RAFT
20.0,492.0,Plebi 0.3 prob topology
20.0,782.0,Plebi 0.5 prob topology
20.0,1853.0,Plebi 0.7 prob topology
20.0,1806.0,Plebi 0.9 prob topology
20.0,824.0,RAFT
20.0,292.0,Plebi 0.3 prob topology
20.0,714.0,Plebi 0.5 prob topology
20.0,1290.0,Plebi 0.7 prob topology
20.0,2577.0,Plebi 0.9 prob topology
20.0,701.0,RAFT
20.0,317.0,Plebi 0.3 prob topology
20.0,971.0,Plebi 0.5 prob topology
20.0,1499.0,Plebi 0.7 prob topology
20.0,2257.0,Plebi 0.9 prob topology
20.0,768.0,RAFT
20.0,297.0,Plebi 0.3 prob topology
20.0,787.0,Plebi 0.5 prob topology
20.0,992.0,Plebi 0.7 prob topology
20.0,2061.0,Plebi 0.9 prob topology
20.0,762.0,RAFT
20.0,288.0,Plebi 0.3 prob topology
20.0,1138.0,Plebi 0.5 prob topology
20.0,1814.0,Plebi 0.7 prob topology
20.0,2400.0,Plebi 0.9 prob topology
20.0,738.0,RAFT
20.0,258.0,Plebi 0.3 prob topology
20.0,989.0,Plebi 0.5 prob topology
20.0,1087.0,Plebi 0.7 prob topology
20.0,1551.0,Plebi 0.9 prob topology
20.0,824.0,RAFT
20.0,371.0,Plebi 0.3 prob topology
20.0,986.0,Plebi 0.5 prob topology
20.0,691.0,Plebi 0.7 prob topology
20.0,2442.0,Plebi 0.9 prob topology
20.0,791.0,RAFT
20.0,399.0,Plebi 0.3 prob topology
20.0,887.0,Plebi 0.5 prob topology
20.0,911.0,Plebi 0.7 prob topology
20.0,2894.0,Plebi 0.9 prob topology
20.0,824.0,RAFT
50.0,70.0,Plebi 0.3 prob topology
50.0,367.0,Plebi 0.5 prob topology
50.0,505.0,Plebi 0.7 prob topology
50.0,635.0,Plebi 0.9 prob topology
50.0,695.0,RAFT
50.0,127.0,Plebi 0.3 prob topology
50.0,143.0,Plebi 0.5 prob topology
50.0,150.0,Plebi 0.7 prob topology
50.0,582.0,Plebi 0.9 prob topology
50.0,402.0,RAFT
10.0,170.0,Plebi 0.3 prob topology
10.0,489.0,Plebi 0.5 prob topology
10.0,1435.0,Plebi 0.7 prob topology
10.0,1458.0,Plebi 0.9 prob topology
10.0,800.0,RAFT
10.0,209.0,Plebi 0.3 prob topology
10.0,570.0,Plebi 0.5 prob topology
10.0,1053.0,Plebi 0.7 prob topology
10.0,1840.0,Plebi 0.9 prob topology
10.0,843.0,RAFT
10.0,266.0,Plebi 0.3 prob topology
10.0,555.0,Plebi 0.5 prob topology
10.0,1060.0,Plebi 0.7 prob topology
10.0,1853.0,Plebi 0.9 prob topology
10.0,816.0,RAFT
10.0,247.0,Plebi 0.3 prob topology
10.0,390.0,Plebi 0.5 prob topology
10.0,1132.0,Plebi 0.7 prob topology
10.0,1334.0,Plebi 0.9 prob topology
10.0,873.0,RAFT
10.0,166.0,Plebi 0.3 prob topology
10.0,592.0,Plebi 0.5 prob topology
10.0,1028.0,Plebi 0.7 prob topology
10.0,1944.0,Plebi 0.9 prob topology
10.0,888.0,RAFT
10.0,244.0,Plebi 0.3 prob topology
10.0,596.0,Plebi 0.5 prob topology
10.0,1195.0,Plebi 0.7 prob topology
10.0,1794.0,Plebi 0.9 prob topology
10.0,786.0,RAFT
10.0,170.0,Plebi 0.3 prob topology
10.0,540.0,Plebi 0.5 prob topology
10.0,1508.0,Plebi 0.7 prob topology
10.0,1224.0,Plebi 0.9 prob topology
10.0,783.0,RAFT
10.0,323.0,Plebi 0.3 prob topology
10.0,354.0,Plebi 0.5 prob topology
10.0,1159.0,Plebi 0.7 prob topology
10.0,1371.0,Plebi 0.9 prob topology
10.0,842.0,RAFT
10.0,10.0,Plebi 0.3 prob topology
10.0,621.0,Plebi 0.5 prob topology
10.0,1313.0,Plebi 0.7 prob topology
10.0,1360.0,Plebi 0.9 prob topology
10.0,818.0,RAFT
10.0,10.0,Plebi 0.3 prob topology
10.0,484.0,Plebi 0.5 prob topology
10.0,1116.0,Plebi 0.7 prob topology
10.0,2631.0,Plebi 0.9 prob topology
10.0,834.0,RAFT
10.0,258.0,Plebi 0.3 prob topology
10.0,607.0,Plebi 0.5 prob topology
10.0,1589.0,Plebi 0.7 prob topology
10.0,2296.0,Plebi 0.9 prob topology
10.0,847.0,RAFT
10.0,215.0,Plebi 0.3 prob topology
10.0,526.0,Plebi 0.5 prob topology
10.0,1951.0,Plebi 0.7 prob topology
10.0,1493.0,Plebi 0.9 prob topology
10.0,782.0,RAFT
10.0,125.0,Plebi 0.3 prob topology
10.0,575.0,Plebi 0.5 prob topology
10.0,1452.0,Plebi 0.7 prob topology
10.0,3251.0,Plebi 0.9 prob topology
10.0,833.0,RAFT
50.0,68.0,Plebi 0.3 prob topology
50.0,261.0,Plebi 0.5 prob topology
50.0,599.0,Plebi 0.7 prob topology
50.0,1140.0,Plebi 0.9 prob topology
50.0,322.0,RAFT
50.0,35.0,Plebi 0.3 prob topology
50.0,403.0,Plebi 0.5 prob topology
50.0,859.0,Plebi 0.7 prob topology
50.0,1035.0,Plebi 0.9 prob topology
50.0,725.0,RAFT
50.0,78.0,Plebi 0.3 prob topology
50.0,134.0,Plebi 0.5 prob topology
50.0,442.0,Plebi 0.7 prob topology
50.0,656.0,Plebi 0.9 prob topology
50.0,568.0,RAFT
50.0,84.0,Plebi 0.3 prob topology
50.0,297.0,Plebi 0.5 prob topology
50.0,274.0,Plebi 0.7 prob topology
50.0,605.0,Plebi 0.9 prob topology
50.0,406.0,RAFT
50.0,118.0,Plebi 0.3 prob topology
50.0,361.0,Plebi 0.5 prob topology
50.0,139.0,Plebi 0.7 prob topology
50.0,995.0,Plebi 0.9 prob topology
50.0,622.0,RAFT
50.0,62.0,Plebi 0.3 prob topology
50.0,518.0,Plebi 0.5 prob topology
50.0,275.0,Plebi 0.7 prob topology
50.0,496.0,Plebi 0.9 prob topology
50.0,277.0,RAFT
50.0,69.0,Plebi 0.3 prob topology
50.0,672.0,Plebi 0.5 prob topology
50.0,226.0,Plebi 0.7 prob topology
50.0,472.0,Plebi 0.9 prob topology
50.0,633.0,RAFT
50.0,120.0,Plebi 0.3 prob topology
50.0,200.0,Plebi 0.5 prob topology
50.0,146.0,Plebi 0.7 prob topology
50.0,835.0,Plebi 0.9 prob topology
50.0,650.0,RAFT
50.0,97.0,Plebi 0.3 prob topology
50.0,415.0,Plebi 0.5 prob topology
50.0,292.0,Plebi 0.7 prob topology
50.0,1289.0,Plebi 0.9 prob topology
50.0,245.0,RAFT
50.0,32.0,Plebi 0.3 prob topology
50.0,259.0,Plebi 0.5 prob topology
50.0,195.0,Plebi 0.7 prob topology
50.0,556.0,Plebi 0.9 prob topology
50.0,731.0,RAFT
50.0,67.0,Plebi 0.3 prob topology
50.0,248.0,Plebi 0.5 prob topology
50.0,833.0,Plebi 0.7 prob topology
50.0,798.0,Plebi 0.9 prob topology
50.0,650.0,RAFT
30.0,114.0,Plebi 0.3 prob topology
30.0,354.0,Plebi 0.5 prob topology
30.0,510.0,Plebi 0.7 prob topology
30.0,1440.0,Plebi 0.9 prob topology
30.0,854.0,RAFT
30.0,95.0,Plebi 0.3 prob topology
30.0,240.0,Plebi 0.5 prob topology
30.0,814.0,Plebi 0.7 prob topology
30.0,1384.0,Plebi 0.9 prob topology
30.0,760.0,RAFT
30.0,135.0,Plebi 0.3 prob topology
30.0,437.0,Plebi 0.5 prob topology
30.0,824.0,Plebi 0.7 prob topology
30.0,1277.0,Plebi 0.9 prob topology
30.0,720.0,RAFT
30.0,145.0,Plebi 0.3 prob topology
30.0,303.0,Plebi 0.5 prob topology
30.0,577.0,Plebi 0.7 prob topology
30.0,1314.0,Plebi 0.9 prob topology
30.0,700.0,RAFT
30.0,138.0,Plebi 0.3 prob topology
30.0,483.0,Plebi 0.5 prob topology
30.0,684.0,Plebi 0.7 prob topology
30.0,1208.0,Plebi 0.9 prob topology
30.0,780.0,RAFT
30.0,108.0,Plebi 0.3 prob topology
30.0,304.0,Plebi 0.5 prob topology
30.0,675.0,Plebi 0.7 prob topology
30.0,1403.0,Plebi 0.9 prob topology
30.0,696.0,RAFT
30.0,32.0,Plebi 0.3 prob topology
30.0,455.0,Plebi 0.5 prob topology
30.0,476.0,Plebi 0.7 prob topology
30.0,1126.0,Plebi 0.9 prob topology
30.0,684.0,RAFT
30.0,148.0,Plebi 0.3 prob topology
30.0,250.0,Plebi 0.5 prob topology
30.0,648.0,Plebi 0.7 prob topology
30.0,1139.0,Plebi 0.9 prob topology
30.0,780.0,RAFT
30.0,108.0,Plebi 0.3 prob topology
30.0,256.0,Plebi 0.5 prob topology
30.0,643.0,Plebi 0.7 prob topology
30.0,1002.0,Plebi 0.9 prob topology
30.0,669.0,RAFT
30.0,133.0,Plebi 0.3 prob topology
30.0,200.0,Plebi 0.5 prob topology
30.0,648.0,Plebi 0.7 prob topology
30.0,1301.0,Plebi 0.9 prob topology
30.0,846.0,RAFT
